epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.3016061641693115,0.11705,2.3003776580810547,0.1102,0.1138
2,2.2873300632476807,0.11245,2.271252160644531,0.1217,0.122
3,2.1842224048614503,0.1863,2.0822517749786376,0.2163,0.2166
4,2.0146235414505007,0.2623,1.9555999723434447,0.2905,0.2826
5,1.9272696784973145,0.305375,1.8653332401275635,0.3342,0.3251
6,1.8623467794418336,0.33125,1.9544624938964843,0.3012,0.2909
7,1.8055069721221924,0.35075,1.7665850728988648,0.3627,0.3599
8,1.7616907901763916,0.365825,1.745596773147583,0.3773,0.3816
9,1.71475034160614,0.38745,1.822341728401184,0.3481,0.3494
10,1.6837608406066895,0.3983,1.825765542602539,0.362,0.3612
11,1.6510009321212769,0.412125,1.773013720703125,0.3705,0.3765
12,1.615863649559021,0.423,1.6257725685119628,0.4272,0.4281
13,1.5910219003677368,0.4339,1.6289523227691651,0.4241,0.421
14,1.5602973495483399,0.443875,1.5557974697113037,0.4364,0.4507
15,1.5406197336196898,0.4498,1.6402993507385253,0.4125,0.4146
16,1.5067175048828125,0.462275,1.568398426437378,0.4374,0.4408
17,1.4658039812088013,0.48055,1.5509839302062989,0.4332,0.4309
18,1.435558812904358,0.487425,1.505618371963501,0.4554,0.458
19,1.4009289665222169,0.499575,1.4884048530578613,0.4669,0.468
20,1.3780331865310669,0.508525,1.6783670511245727,0.425,0.4262
21,1.3406890140533447,0.520025,1.534075040435791,0.4507,0.4513
22,1.3086777320861815,0.5336,1.5293757444381715,0.454,0.4589
23,1.2785872365951538,0.54365,1.409419684791565,0.5021,0.503
24,1.2474186803817748,0.552725,1.400661961555481,0.4986,0.4997
25,1.216817050743103,0.564,1.4579399627685548,0.4834,0.4726
26,1.1863619497299194,0.5759,1.3831957612991332,0.5104,0.5067
27,1.1537122507095336,0.58855,1.4133234409332276,0.5012,0.4926
28,1.115115821647644,0.603575,1.373940318107605,0.5228,0.5179
29,1.088055542755127,0.6123,1.3304028951644897,0.5313,0.5248
30,1.0563563207626343,0.622925,1.4099759464263917,0.5053,0.5133
31,1.0219724489212036,0.6344,1.3556180030822753,0.5366,0.5289
32,0.9869981389999389,0.64925,1.349700255203247,0.532,0.5363
33,0.9592870540618896,0.657225,1.305804999923706,0.5488,0.5404
