epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.3016061641693115,0.11705,2.3003776580810547,0.1102,0.1138
2,2.081068333435059,0.23295,1.940424768447876,0.2899,0.2821
3,1.8740035383224487,0.324075,1.8577516489028931,0.3133,0.3129
4,1.7764115756988526,0.361025,1.7817513671875,0.3621,0.3641
5,1.7158945072174072,0.38645,1.6942648792266846,0.3915,0.3914
6,1.6679016159057618,0.401725,1.8882884021759032,0.3504,0.3457
7,1.623015412902832,0.419825,1.6358432815551758,0.4127,0.4167
8,1.587315941619873,0.434075,1.5666181549072267,0.4426,0.4448
9,1.543919059562683,0.447475,1.6483723526000977,0.3993,0.4027
10,1.5193486461639405,0.45725,1.7291287071228028,0.4068,0.4059
11,1.4895533912658692,0.466875,1.614769520187378,0.417,0.4215
12,1.4526252470016479,0.480375,1.4748562252044677,0.4765,0.4807
13,1.4321934259414673,0.48985,1.490966625213623,0.4725,0.4693
14,1.3999694644927978,0.500025,1.4788640319824218,0.4662,0.4797
15,1.3887745761871337,0.503475,1.5608332593917846,0.4449,0.4501
16,1.364939112663269,0.5122,1.4574985214233398,0.4782,0.4868
17,1.3315473737716674,0.5252,1.4741774501800538,0.4747,0.4657
18,1.317896422767639,0.530125,1.397081884765625,0.4942,0.4977
19,1.2909004384994507,0.538825,1.4383179691314698,0.4843,0.4917
20,1.2744540502548218,0.546,1.6301529726028443,0.4508,0.4437
21,1.2497313943862915,0.5529,1.567428953552246,0.443,0.4411
22,1.228213296318054,0.559275,1.4946861782073975,0.4685,0.4783
23,1.2065000526428222,0.567875,1.4560181877136231,0.4826,0.4775
24,1.1874378593444823,0.573525,1.3937566720962524,0.5064,0.5105
25,1.1696206031799317,0.582575,1.4663873485565186,0.4801,0.4729
26,1.1447989295959473,0.588675,1.4236945323944092,0.5043,0.5025
27,1.1249661476135253,0.59755,1.4027274019241334,0.5076,0.5016
28,1.097649080657959,0.605975,1.5000091859817506,0.4977,0.4909
29,1.0839719999313355,0.611475,1.4521660932540894,0.4956,0.4965
30,1.0646085546493531,0.615375,1.4827809129714966,0.4904,0.4879
31,1.0417132131576539,0.62685,1.5716698554992676,0.4762,0.4735
32,1.010655588722229,0.6349,1.4143178495407105,0.518,0.5245
33,1.0089276361465453,0.637025,1.460535853767395,0.4962,0.4958
34,0.9775960559844971,0.650175,1.530188759613037,0.4791,0.4812
35,0.9558025110244751,0.655825,1.5706043292999268,0.4887,0.4902
36,0.9359311971664429,0.663925,1.659814447593689,0.4681,0.4693
37,0.9123777438163757,0.6727,1.5969882102966309,0.4956,0.4923
38,0.8946818978309631,0.67945,1.576870182800293,0.4951,0.4968
39,0.8709165758132934,0.687275,1.5002586095809936,0.5069,0.508
40,0.8473637257575989,0.695775,1.4932943241119385,0.5243,0.5136
41,0.821622168636322,0.7082,1.5964736576080323,0.5014,0.503
