epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,1.9678955644607543,27.4975,1.6766875329971314,39.19,82.94
2,1.6010563720703126,41.8125,1.5962514360427857,42.54,82.94
3,1.4296420587539673,48.2575,1.4901506216049194,46.38,82.94
4,1.294344766807556,53.635,1.300871315574646,53.43,82.94
5,1.199453920173645,57.1725,1.1752350358963013,57.57,82.94
6,1.1067375085830689,60.8025,1.0285316780090332,63.51,82.94
7,1.0319678933143617,63.6075,1.0387950925827025,62.94,82.94
8,0.979123461151123,65.785,1.044366305732727,63.26,82.94
9,0.929439213180542,67.5175,0.9730001129150391,66.2,82.94
10,0.890946703338623,69.0475,0.9561637073516845,66.46,82.94
11,0.8550738583564759,70.1925,1.034757773590088,63.68,82.94
12,0.8214858616828918,71.21,0.9169106985092164,67.07,82.94
13,0.7954109869003296,72.3025,1.0377659673690796,63.1,82.94
14,0.768306546497345,73.295,0.8945435933113098,69.01,82.94
15,0.7485138449668884,73.8625,0.8823182440757752,69.58,82.94
16,0.7279920355796814,74.465,0.7880579045295716,72.36,82.94
17,0.7109192722320556,75.3575,0.8723378031730652,69.68,82.94
18,0.6973204421043396,75.87,0.7852908530712127,72.81,82.94
19,0.6841369829177857,76.135,0.8154794898986817,71.29,82.94
20,0.6661402849197388,76.775,0.8957727801322937,69.98,82.94
21,0.6572505690574646,77.3225,0.7754543528556824,73.79,82.94
22,0.6446828956604004,77.535,0.7884536811828613,72.72,82.94
23,0.6270371158599853,78.12,0.7598451168060303,74.03,82.94
24,0.6200407462120057,78.525,0.8266243328094482,71.63,82.94
25,0.617892416191101,78.4025,0.7365228754043579,74.72,82.94
26,0.5969838517189026,79.2625,0.8717277996063233,71.41,82.94
27,0.5971187644004822,79.1025,0.7047761703968048,75.73,82.94
28,0.5837603149414062,79.4875,0.7202610934257507,75.38,82.94
29,0.5768544229507446,79.815,0.7303543348312378,75.03,82.94
30,0.5711756419181824,80.0075,0.7190498311519623,75.44,82.94
31,0.567527665424347,80.1625,0.6572375474929809,77.26,82.94
32,0.5585973343849182,80.3225,0.6757867087364197,76.31,82.94
33,0.5511655641555786,80.8525,0.8530150232315064,71.26,82.94
34,0.5444197673797607,81.12,0.7230608399868012,76.22,82.94
35,0.5386572115898133,81.38,0.8790701491832733,71.68,82.94
36,0.5273090763092041,81.4975,0.6642976004600525,77.1,82.94
37,0.5257204378128052,81.3675,0.645055729675293,77.73,82.94
38,0.523214212179184,81.7075,0.665989747095108,77.13,82.94
39,0.5159093439102173,82.025,0.657078901720047,77.56,82.94
40,0.5123687816619873,81.87,0.7729256093025207,74.23,82.94
41,0.5100506777763367,82.2325,0.659166358757019,77.68,82.94
42,0.5047825776100159,82.4525,0.6718250162124634,77.43,82.94
43,0.49312424783706665,82.7075,0.7140739898204803,76.3,82.94
44,0.49273422651290893,82.72,0.6361887099742889,78.34,82.94
45,0.4883725200653076,82.975,0.6734421988487244,77.56,82.94
46,0.4847936496257782,83.045,0.6278576459407806,78.66,82.94
47,0.4810581699371338,83.2775,0.732779047870636,75.23,82.94
48,0.4766530841827393,83.315,0.6525905051231384,78.16,82.94
49,0.47322042274475096,83.34,0.8834732845306397,72.33,82.94
50,0.4710238347053528,83.65,0.634935773563385,78.74,82.94
51,0.45999447922706604,83.82,0.6226409479618072,78.96,82.94
52,0.4607805034637451,83.945,0.6447678863763809,78.88,82.94
53,0.45724812135696413,83.985,0.622463053894043,78.47,82.94
54,0.4559838189601898,84.0175,0.6599451851844788,78.37,82.94
55,0.45601484627723693,83.9075,0.6858582439422607,77.53,82.94
56,0.44679715270996095,84.325,0.660507166481018,77.59,82.94
57,0.44422729959487917,84.4075,0.6374679284095764,78.71,82.94
58,0.44372490038871765,84.4575,0.6644200766563415,77.82,82.94
59,0.4402639362335205,84.465,0.6412097146987915,78.68,82.94
60,0.43481078786849975,84.7175,0.6110805292129516,79.17,82.94
61,0.43148320078849794,84.835,0.6513713890075684,78.5,82.94
62,0.42974006929397585,84.85,0.6128853451013565,79.51,82.94
63,0.4235656123161316,85.08,0.6519780560493469,78.61,82.94
64,0.4205907032966614,85.2525,0.6078630842685699,80.21,82.94
65,0.41720827422142026,85.3525,0.6076405928134918,79.92,82.94
66,0.4149243006706238,85.405,0.6409472272634507,78.18,82.94
67,0.4195769753932953,85.16,0.6429710971832275,78.72,82.94
68,0.4111472496986389,85.45,0.6103012882709503,79.49,82.94
69,0.410779797577858,85.5475,0.6278504267215729,79.83,82.94
70,0.40771874074935915,85.57,0.6421606228113175,79.92,82.94
71,0.40880083656311034,85.59,0.6098025043487549,79.81,82.94
72,0.40434120030403137,85.7825,0.6777316148757935,78.37,82.94
73,0.40237246861457826,85.925,0.6308622425198555,78.92,82.94
74,0.39620948548316953,86.0975,0.6631945207595825,77.91,82.94
75,0.4011417974472046,85.885,0.5991857664585114,79.79,82.94
76,0.3895430403709412,86.1925,0.6190273991823196,79.62,82.94
77,0.3886063144683838,86.205,0.6084351687431335,79.93,82.94
78,0.3885108688354492,86.0825,0.6421625632286072,79.22,82.94
79,0.3861177213191986,86.44,0.6137623999595642,80.1,82.94
80,0.3844237099170685,86.46,0.6014382853507996,80.5,82.94
81,0.3795231759548187,86.39,0.64857728099823,78.78,82.94
82,0.37892360677719117,86.57,0.5857654127836227,80.55,82.94
83,0.3767236659526825,86.565,0.6033567948818207,80.1,82.94
84,0.3741128624916077,86.7275,0.625926485157013,79.77,82.94
85,0.3726218306541443,87.005,0.6116539561271668,80.02,82.94
86,0.37173680953979493,86.6975,0.6081361624240875,79.58,82.94
87,0.36860362310409545,87.0075,0.6264365482091904,79.71,82.94
88,0.3596096905708313,87.36,0.6234237386226654,80.52,82.94
89,0.36605442633628843,87.09,0.594690329170227,80.8,82.94
90,0.36407086815834044,87.2,0.6745011795043945,78.56,82.94
91,0.36296112189292906,87.1525,0.5795257455825805,80.48,82.94
92,0.36377047376632693,87.135,0.6288847135066986,79.86,82.94
93,0.355568633890152,87.3025,0.6132310631990433,80.2,82.94
94,0.3582874095916748,87.2825,0.6052229392528534,80.31,82.94
95,0.35590129971504214,87.405,0.6419073517560959,79.79,82.94
96,0.3525392516613007,87.5125,0.6168178276538849,80.28,82.94
97,0.3508269695997238,87.635,0.6030649574995041,80.56,82.94
98,0.3531932860851288,87.4425,0.6068950001716614,80.62,82.94
99,0.3452082773208618,87.7275,0.6164791611671447,80.35,82.94
100,0.34366286234855653,87.8325,0.6219623667240143,79.95,82.94
101,0.34312638721466066,87.82,0.6057431196212768,80.5,82.94
102,0.34419650695323945,87.73,0.5991456562042237,81.06,82.94
103,0.34253235192298886,87.8525,0.6060208255767823,80.63,82.94
104,0.33847863097190856,87.955,0.6189230544567108,80.48,82.94
105,0.333819965672493,88.245,0.6070488070011139,80.99,82.94
106,0.33602368783950803,88.0225,0.5991306394577026,80.83,82.94
107,0.33182084980010984,88.1025,0.6021344046354293,80.47,82.94
108,0.3297941571235657,88.3,0.6322839718818665,80.11,82.94
109,0.3285312779903412,88.56,0.5825837050437928,81.22,82.94
110,0.32485172419548036,88.355,0.6248239814758301,80.62,82.94
111,0.3232395152568817,88.425,0.6074940085411071,80.82,82.94
112,0.3233454276561737,88.295,0.6012027717113495,81.57,82.94
113,0.32680785908699034,88.6125,0.5742081213474274,81.79,82.94
114,0.3193559022903442,88.635,0.6228715717554092,80.69,82.94
115,0.32130948963165284,88.6275,0.6255453976154327,80.82,82.94
116,0.3191731065273285,88.7025,0.6739963653564454,79.66,82.94
117,0.31584278950691225,88.7725,0.6295366368293762,79.86,82.94
118,0.31695038709640505,88.67,0.5828648975133895,81.63,82.94
119,0.31226414239406586,88.975,0.6046815299987793,81.09,82.94
120,0.31575189912319185,88.855,0.6067561617612839,81.2,82.94
121,0.30926892931461336,89.045,0.6089940216541291,81.4,82.94
122,0.3109924320220947,88.805,0.5885904888868332,81.47,82.94
123,0.3048751448154449,89.065,0.5899574634313584,81.24,82.94
124,0.31173588705062866,88.8975,0.60404299659729,80.91,82.94
125,0.30442580206394193,89.095,0.5703207623004913,81.73,82.94
126,0.30567118196487425,89.09,0.5746045133590698,81.49,82.94
127,0.2985363731861114,89.5375,0.6364292323112488,80.35,82.94
128,0.3026045424938202,88.9675,0.6071337505340576,80.78,82.94
129,0.301418243765831,89.2375,0.6002589088439941,80.87,82.94
130,0.30111797475814817,89.17,0.5961900245666504,81.32,82.94
131,0.2957244623422623,89.6,0.5748624277353287,82.05,82.94
132,0.29448345217704774,89.545,0.5970442978858947,81.23,82.94
133,0.2901873435974121,89.505,0.5791450849533081,81.75,82.94
134,0.2900488686800003,89.775,0.5847114713191987,81.91,82.94
135,0.28973290205001834,89.5925,0.5847722188472748,81.95,82.94
136,0.29495864975452424,89.385,0.5948929561614991,81.71,82.94
137,0.28696138482093814,89.92,0.5660956248283386,81.89,82.94
